 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_00min_03.TIF:0006-0092-0168:6,2828,3902.713,2864,6055,168.186,92.117,188.496,11036871.000,11036871.000,6
2,20190816_foci_10ugml_00min_03.TIF:0006-0125-0376:6,2828,3832.924,2817,5622,375.390,125.801,188.496,10839510.000,10839510.000,6
3,20190816_foci_10ugml_00min_03.TIF:0006-0130-0250:6,2828,4060.610,2859,6431,250.195,129.891,188.496,11483406.000,11483406.000,6
4,20190816_foci_10ugml_00min_03.TIF:0006-0141-0076:6,2828,3966.897,2871,6625,76.931,140.863,188.496,11218384.000,11218384.000,6
5,20190816_foci_10ugml_00min_03.TIF:0006-0197-0266:6,2828,4192.535,2986,9316,266.114,197.186,188.496,11856489.000,11856489.000,6
6,20190816_foci_10ugml_00min_03.TIF:0006-0221-0040:6,2828,4287.180,2767,9293,40.314,221.181,188.496,12124145.000,12124145.000,6
7,20190816_foci_10ugml_00min_03.TIF:0006-0240-0116:6,2828,4544.911,2994,9351,116.047,240.708,188.496,12853009.000,12853009.000,6
8,20190816_foci_10ugml_00min_03.TIF:0006-0242-0194:6,2828,4293.499,2945,8365,194.575,242.565,188.496,12142015.000,12142015.000,6
9,20190816_foci_10ugml_00min_03.TIF:0006-0239-0322:6,2828,4301.338,2910,8798,322.900,238.748,188.496,12164183.000,12164183.000,6
10,20190816_foci_10ugml_00min_03.TIF:0006-0256-0399:6,2828,3822.494,2830,6120,398.458,255.828,188.496,10810012.000,10810012.000,6
11,20190816_foci_10ugml_00min_03.TIF:0006-0328-0193:6,2828,4598.362,3133,8678,192.477,327.633,188.496,13004167.000,13004167.000,6
12,20190816_foci_10ugml_00min_03.TIF:0006-0331-0430:6,2828,3727.676,2782,7988,430.141,331.137,188.496,10541868.000,10541868.000,6
13,20190816_foci_10ugml_00min_03.TIF:0006-0350-0328:6,2828,3966.740,2783,9415,328.966,349.850,188.496,11217940.000,11217940.000,6
14,20190816_foci_10ugml_00min_03.TIF:0006-0375-0475:6,2828,3656.162,2736,5492,474.841,374.799,188.496,10339626.000,10339626.000,6
15,20190816_foci_10ugml_00min_03.TIF:0006-0426-0148:6,2828,3724.108,2827,6011,148.179,425.488,188.496,10531778.000,10531778.000,6
