 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_00min_02.TIF:0006-0063-0188:6,2828,4019.889,2765,14980,189.410,63.938,188.496,11368245.000,11368245.000,6
2,20190816_foci_10ugml_00min_02.TIF:0006-0110-0252:6,2828,4047.050,2833,9826,252.378,111.100,188.496,11445056.000,11445056.000,6
3,20190816_foci_10ugml_00min_02.TIF:0006-0113-0079:6,2828,3971.524,2851,7691,78.900,113.193,188.496,11231471.000,11231471.000,6
4,20190816_foci_10ugml_00min_02.TIF:0006-0124-0415:6,2828,3739.835,2788,8236,415.561,124.031,188.496,10576254.000,10576254.000,6
5,20190816_foci_10ugml_00min_02.TIF:0006-0151-0319:6,2828,4087.525,2975,10816,318.686,150.772,188.496,11559522.000,11559522.000,6
6,20190816_foci_10ugml_00min_02.TIF:0006-0163-0172:6,2828,3892.290,2784,6147,172.110,163.928,188.496,11007395.000,11007395.000,6
7,20190816_foci_10ugml_00min_02.TIF:0006-0206-0380:6,2828,4125.263,2753,11062,379.803,206.035,188.496,11666245.000,11666245.000,6
8,20190816_foci_10ugml_00min_02.TIF:0006-0222-0462:6,2828,3932.458,2875,8177,462.244,222.599,188.496,11120992.000,11120992.000,6
9,20190816_foci_10ugml_00min_02.TIF:0006-0235-0312:6,2828,3752.565,2827,6297,311.948,235.618,188.496,10612255.000,10612255.000,6
10,20190816_foci_10ugml_00min_02.TIF:0006-0344-0413:6,2828,3821.732,2819,6190,412.143,344.560,188.496,10807857.000,10807857.000,6
11,20190816_foci_10ugml_00min_02.TIF:0006-0373-0255:6,2828,4135.705,3027,9421,255.588,372.996,188.496,11695775.000,11695775.000,6
12,20190816_foci_10ugml_00min_02.TIF:0006-0374-0037:6,2828,3934.978,2924,6926,37.277,373.124,188.496,11128117.000,11128117.000,6
13,20190816_foci_10ugml_00min_02.TIF:0006-0404-0111:6,2828,3885.662,2811,7371,110.918,403.045,188.496,10988651.000,10988651.000,6
14,20190816_foci_10ugml_00min_02.TIF:0006-0422-0409:6,2828,3523.959,2758,5538,409.051,422.145,188.496,9965755.000,9965755.000,6
15,20190816_foci_10ugml_00min_02.TIF:0006-0471-0056:6,2828,3598.327,2764,5220,56.309,471.394,188.496,10176068.000,10176068.000,6
16,20190816_foci_10ugml_00min_02.TIF:0006-0479-0455:6,2828,3415.004,2733,4878,455.034,478.784,188.496,9657630.000,9657630.000,6
17,20190816_foci_10ugml_00min_02.TIF:0003-0047-0183:3,32,10429.156,5513,14521,182.795,47.282,18.850,333733.000,333733.000,3
18,20190816_foci_10ugml_00min_02.TIF:0004-0061-0207:4,32,9857.625,6200,14475,206.990,61.140,18.850,315444.000,315444.000,4
19,20190816_foci_10ugml_00min_02.TIF:0005-0064-0207:5,32,12331.969,7288,17211,207.110,64.154,18.850,394623.000,394623.000,5
20,20190816_foci_10ugml_00min_02.TIF:0005-0055-0206:5,32,8974.125,5828,13087,205.963,55.100,18.850,287172.000,287172.000,5
21,20190816_foci_10ugml_00min_02.TIF:0006-0068-0203:6,32,10243.594,4939,14980,203.246,68.101,18.850,327795.000,327795.000,6
22,20190816_foci_10ugml_00min_02.TIF:0008-0042-0181:8,32,9106.750,5216,13212,181.117,42.025,18.850,291416.000,291416.000,8
23,20190816_foci_10ugml_00min_02.TIF:0004-0122-0260:4,32,7242.844,5072,9413,260.067,122.184,18.850,231771.000,231771.000,4
24,20190816_foci_10ugml_00min_02.TIF:0005-0122-0263:5,32,8341.594,4382,12465,263.056,122.372,18.850,266931.000,266931.000,5
25,20190816_foci_10ugml_00min_02.TIF:0006-0121-0270:6,32,6647.656,3379,9826,270.146,121.222,18.850,212725.000,212725.000,6
26,20190816_foci_10ugml_00min_02.TIF:0009-0094-0069:9,32,8124.062,5056,11804,69.164,94.231,18.850,259970.000,259970.000,9
27,20190816_foci_10ugml_00min_02.TIF:0010-0095-0069:10,32,7743.031,4540,11273,69.113,95.188,18.850,247777.000,247777.000,10
28,20190816_foci_10ugml_00min_02.TIF:0004-0139-0421:4,32,6921.094,4232,10832,421.224,139.254,18.850,221475.000,221475.000,4
29,20190816_foci_10ugml_00min_02.TIF:0007-0128-0435:7,32,6069.938,4497,8501,435.154,128.044,18.850,194238.000,194238.000,7
30,20190816_foci_10ugml_00min_02.TIF:0003-0149-0332:3,32,7446.031,4931,11311,331.935,149.051,18.850,238273.000,238273.000,3
31,20190816_foci_10ugml_00min_02.TIF:0006-0127-0323:6,32,7135.562,4222,10816,323.232,127.285,18.850,228338.000,228338.000,6
32,20190816_foci_10ugml_00min_02.TIF:0011-0158-0337:11,32,7666.031,4233,11824,337.099,158.295,18.850,245313.000,245313.000,11
33,20190816_foci_10ugml_00min_02.TIF:0012-0135-0320:12,32,6207.375,4353,8726,320.061,135.136,18.850,198636.000,198636.000,12
34,20190816_foci_10ugml_00min_02.TIF:0004-0214-0384:4,32,9064.906,5057,13018,384.229,214.236,18.850,290077.000,290077.000,4
35,20190816_foci_10ugml_00min_02.TIF:0005-0208-0396:5,32,6498.156,4168,8558,396.199,208.100,18.850,207941.000,207941.000,5
36,20190816_foci_10ugml_00min_02.TIF:0006-0216-0367:6,32,7513.469,4821,11062,367.082,216.214,18.850,240431.000,240431.000,6
37,20190816_foci_10ugml_00min_02.TIF:0006-0201-0380:6,32,7195.219,4161,10918,380.316,201.138,18.850,230247.000,230247.000,6
38,20190816_foci_10ugml_00min_02.TIF:0003-0215-0464:3,32,5527.750,3658,9305,464.146,215.155,18.850,176888.000,176888.000,3
39,20190816_foci_10ugml_00min_02.TIF:0003-0222-0476:3,32,5851.062,3932,8686,476.009,222.019,18.850,187234.000,187234.000,3
40,20190816_foci_10ugml_00min_02.TIF:0004-0229-0476:4,32,6307.094,4155,8960,475.955,229.084,18.850,201827.000,201827.000,4
41,20190816_foci_10ugml_00min_02.TIF:0005-0234-0475:5,32,7505.156,4779,11102,475.000,233.893,18.850,240165.000,240165.000,5
42,20190816_foci_10ugml_00min_02.TIF:0005-0217-0442:5,32,6000.250,3984,8407,442.152,217.104,18.850,192008.000,192008.000,5
43,20190816_foci_10ugml_00min_02.TIF:0007-0231-0483:7,32,6418.469,3858,9873,483.151,231.089,18.850,205391.000,205391.000,7
44,20190816_foci_10ugml_00min_02.TIF:0006-0362-0276:6,32,6098.656,4387,9421,276.017,362.110,18.850,195157.000,195157.000,6
45,20190816_foci_10ugml_00min_02.TIF:0008-0396-0248:8,32,5801.031,4663,8752,248.066,396.074,18.850,185633.000,185633.000,8
