 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_50min_03.TIF:0006-0060-0083:6,2828,3656.421,2689,11394,82.877,60.665,188.496,10340358.000,10340358.000,6
2,20190816_foci_10ugml_50min_03.TIF:0006-0077-0297:6,2828,4069.896,2968,11154,297.518,77.446,188.496,11509666.000,11509666.000,6
3,20190816_foci_10ugml_50min_03.TIF:0006-0094-0156:6,2828,3900.102,2820,12761,155.865,94.296,188.496,11029488.000,11029488.000,6
4,20190816_foci_10ugml_50min_03.TIF:0006-0096-0365:6,2828,3773.450,2741,11313,364.756,96.687,188.496,10671316.000,10671316.000,6
5,20190816_foci_10ugml_50min_03.TIF:0006-0136-0404:6,2828,3763.415,2836,11277,403.261,135.617,188.496,10642939.000,10642939.000,6
6,20190816_foci_10ugml_50min_03.TIF:0006-0151-0284:6,2828,3674.026,2796,5649,283.909,151.326,188.496,10390145.000,10390145.000,6
7,20190816_foci_10ugml_50min_03.TIF:0006-0165-0334:6,2828,3736.490,2758,9997,333.428,165.042,188.496,10566794.000,10566794.000,6
8,20190816_foci_10ugml_50min_03.TIF:0006-0179-0061:6,2828,3625.949,2856,5506,60.999,179.232,188.496,10254184.000,10254184.000,6
9,20190816_foci_10ugml_50min_03.TIF:0006-0218-0229:6,2828,4185.602,2860,14799,228.858,218.021,188.496,11836882.000,11836882.000,6
10,20190816_foci_10ugml_50min_03.TIF:0006-0235-0297:6,2828,3728.996,2792,7074,297.098,235.307,188.496,10545602.000,10545602.000,6
11,20190816_foci_10ugml_50min_03.TIF:0006-0259-0110:6,2828,4184.941,2801,8575,110.239,259.493,188.496,11835013.000,11835013.000,6
12,20190816_foci_10ugml_50min_03.TIF:0006-0261-0051:6,2828,3815.753,2728,12119,51.459,261.122,188.496,10790949.000,10790949.000,6
13,20190816_foci_10ugml_50min_03.TIF:0006-0274-0337:6,2828,3823.283,2798,12238,336.557,273.985,188.496,10812244.000,10812244.000,6
14,20190816_foci_10ugml_50min_03.TIF:0006-0275-0173:6,2828,4077.966,2745,16594,172.942,275.363,188.496,11532489.000,11532489.000,6
15,20190816_foci_10ugml_50min_03.TIF:0006-0330-0093:6,2828,4482.056,3223,13415,93.386,330.426,188.496,12675253.000,12675253.000,6
16,20190816_foci_10ugml_50min_03.TIF:0006-0346-0251:6,2828,4397.352,2880,20499,251.424,345.723,188.496,12435712.000,12435712.000,6
17,20190816_foci_10ugml_50min_03.TIF:0006-0350-0181:6,2828,4118.738,2894,10509,180.950,350.232,188.496,11647790.000,11647790.000,6
18,20190816_foci_10ugml_50min_03.TIF:0006-0391-0032:6,2828,3591.070,2808,8990,32.182,390.887,188.496,10155545.000,10155545.000,6
19,20190816_foci_10ugml_50min_03.TIF:0006-0408-0405:6,2828,3513.661,2697,5163,404.729,407.952,188.496,9936633.000,9936633.000,6
20,20190816_foci_10ugml_50min_03.TIF:0006-0481-0296:6,2828,3911.166,2765,7313,296.384,480.877,188.496,11060777.000,11060777.000,6
21,20190816_foci_10ugml_50min_03.TIF:0001-0060-0083:1,32,5386.125,3325,11061,82.463,59.883,18.850,172356.000,172356.000,1
22,20190816_foci_10ugml_50min_03.TIF:0001-0218-0229:1,32,5434.719,4157,10079,228.862,218.210,18.850,173911.000,173911.000,1
23,20190816_foci_10ugml_50min_03.TIF:0001-0391-0032:1,32,4589.969,3237,9842,31.711,390.766,18.850,146879.000,146879.000,1
24,20190816_foci_10ugml_50min_03.TIF:0001-0058-0079:1,32,7710.656,4238,11822,79.205,58.245,18.850,246741.000,246741.000,1
25,20190816_foci_10ugml_50min_03.TIF:0001-0052-0076:1,32,7804.250,4396,11146,75.893,51.907,18.850,249736.000,249736.000,1
26,20190816_foci_10ugml_50min_03.TIF:0002-0052-0075:2,32,6934.969,4734,10800,74.899,52.093,18.850,221919.000,221919.000,2
27,20190816_foci_10ugml_50min_03.TIF:0003-0068-0070:3,32,5909.406,3488,8679,70.213,68.001,18.850,189101.000,189101.000,3
28,20190816_foci_10ugml_50min_03.TIF:0004-0058-0091:4,32,7020.594,3532,13922,91.398,58.025,18.850,224659.000,224659.000,4
29,20190816_foci_10ugml_50min_03.TIF:0004-0057-0097:4,32,6095.344,3451,10045,96.919,57.254,18.850,195051.000,195051.000,4
30,20190816_foci_10ugml_50min_03.TIF:0004-0065-0098:4,32,5251.000,3399,8986,97.980,65.185,18.850,168032.000,168032.000,4
31,20190816_foci_10ugml_50min_03.TIF:0004-0054-0069:4,32,6310.219,4114,9859,69.028,54.270,18.850,201927.000,201927.000,4
32,20190816_foci_10ugml_50min_03.TIF:0005-0047-0067:5,32,7391.156,3731,11354,67.107,47.275,18.850,236517.000,236517.000,5
33,20190816_foci_10ugml_50min_03.TIF:0005-0064-0064:5,32,6608.719,4184,10015,64.087,64.202,18.850,211479.000,211479.000,5
34,20190816_foci_10ugml_50min_03.TIF:0006-0071-0093:6,32,6484.625,4157,11394,93.042,71.103,18.850,207508.000,207508.000,6
35,20190816_foci_10ugml_50min_03.TIF:0006-0058-0093:6,32,5588.094,3375,9913,93.261,58.176,18.850,178819.000,178819.000,6
36,20190816_foci_10ugml_50min_03.TIF:0006-0067-0067:6,32,6659.125,4905,9349,67.015,67.008,18.850,213092.000,213092.000,6
37,20190816_foci_10ugml_50min_03.TIF:0003-0061-0283:3,32,5924.812,3556,8593,282.990,61.114,18.850,189594.000,189594.000,3
38,20190816_foci_10ugml_50min_03.TIF:0004-0061-0306:4,32,7107.562,3577,15267,306.238,61.196,18.850,227442.000,227442.000,4
39,20190816_foci_10ugml_50min_03.TIF:0004-0074-0305:4,32,8455.125,4117,15435,305.151,74.172,18.850,270564.000,270564.000,4
40,20190816_foci_10ugml_50min_03.TIF:0004-0066-0279:4,32,7636.250,4175,10618,279.167,66.181,18.850,244360.000,244360.000,4
41,20190816_foci_10ugml_50min_03.TIF:0005-0077-0299:5,32,8130.562,4251,17862,299.177,77.379,18.850,260178.000,260178.000,5
42,20190816_foci_10ugml_50min_03.TIF:0005-0080-0304:5,32,9276.375,5603,15945,304.119,80.081,18.850,296844.000,296844.000,5
43,20190816_foci_10ugml_50min_03.TIF:0005-0082-0291:5,32,8360.500,4279,15261,291.202,82.100,18.850,267536.000,267536.000,5
44,20190816_foci_10ugml_50min_03.TIF:0005-0070-0291:5,32,5698.812,3768,9890,291.138,69.977,18.850,182362.000,182362.000,5
45,20190816_foci_10ugml_50min_03.TIF:0005-0075-0322:5,32,7073.094,4206,10245,322.094,74.920,18.850,226339.000,226339.000,5
46,20190816_foci_10ugml_50min_03.TIF:0005-0067-0309:5,32,5049.500,3476,9672,308.993,67.056,18.850,161584.000,161584.000,5
47,20190816_foci_10ugml_50min_03.TIF:0006-0076-0308:6,32,6080.031,4109,11154,308.069,76.198,18.850,194561.000,194561.000,6
48,20190816_foci_10ugml_50min_03.TIF:0006-0065-0313:6,32,6220.656,3914,10489,312.994,65.295,18.850,199061.000,199061.000,6
49,20190816_foci_10ugml_50min_03.TIF:0006-0097-0314:6,32,6281.281,4001,9412,314.125,97.132,18.850,201001.000,201001.000,6
50,20190816_foci_10ugml_50min_03.TIF:0006-0081-0293:6,32,5654.062,3653,8752,293.093,81.199,18.850,180930.000,180930.000,6
51,20190816_foci_10ugml_50min_03.TIF:0007-0068-0299:7,32,8564.000,3308,16643,299.077,68.483,18.850,274048.000,274048.000,7
52,20190816_foci_10ugml_50min_03.TIF:0007-0082-0302:7,32,7799.969,4688,11773,302.069,82.084,18.850,249599.000,249599.000,7
53,20190816_foci_10ugml_50min_03.TIF:0007-0099-0293:7,32,7564.531,5077,10588,293.101,99.151,18.850,242065.000,242065.000,7
54,20190816_foci_10ugml_50min_03.TIF:0007-0059-0275:7,32,6250.875,4015,10358,275.099,59.032,18.850,200028.000,200028.000,7
55,20190816_foci_10ugml_50min_03.TIF:0007-0083-0313:7,32,5413.688,3487,9607,313.075,83.263,18.850,173238.000,173238.000,7
56,20190816_foci_10ugml_50min_03.TIF:0007-0095-0317:7,32,7603.438,4825,10096,317.141,94.933,18.850,243310.000,243310.000,7
57,20190816_foci_10ugml_50min_03.TIF:0007-0069-0315:7,32,5805.562,4269,8320,314.923,69.137,18.850,185778.000,185778.000,7
58,20190816_foci_10ugml_50min_03.TIF:0008-0082-0303:8,32,11221.219,5504,20438,303.090,82.322,18.850,359079.000,359079.000,8
59,20190816_foci_10ugml_50min_03.TIF:0008-0068-0302:8,32,7822.438,3802,15775,302.033,68.223,18.850,250318.000,250318.000,8
60,20190816_foci_10ugml_50min_03.TIF:0008-0099-0288:8,32,8527.312,4285,13916,288.197,99.213,18.850,272874.000,272874.000,8
61,20190816_foci_10ugml_50min_03.TIF:0008-0072-0312:8,32,5848.281,3847,8880,312.123,72.117,18.850,187145.000,187145.000,8
