 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_50min_02.TIF:0006-0064-0230:6,2828,3792.168,2688,9421,229.986,64.388,188.496,10724250.000,10724250.000,6
2,20190816_foci_10ugml_50min_02.TIF:0006-0094-0327:6,2828,3958.509,2860,7151,327.114,95.183,188.496,11194663.000,11194663.000,6
3,20190816_foci_10ugml_50min_02.TIF:0006-0116-0441:6,2828,3415.509,2695,6552,440.861,116.292,188.496,9659059.000,9659059.000,6
4,20190816_foci_10ugml_50min_02.TIF:0006-0121-0188:6,2828,3745.808,2871,5980,187.753,121.497,188.496,10593145.000,10593145.000,6
5,20190816_foci_10ugml_50min_02.TIF:0006-0162-0143:6,2828,4285.306,2795,18783,143.772,162.821,188.496,12118844.000,12118844.000,6
6,20190816_foci_10ugml_50min_02.TIF:0006-0212-0195:6,2828,4513.314,3025,10691,195.151,212.434,188.496,12763651.000,12763651.000,6
7,20190816_foci_10ugml_50min_02.TIF:0006-0223-0334:6,2828,3838.227,2765,15657,334.872,223.207,188.496,10854507.000,10854507.000,6
8,20190816_foci_10ugml_50min_02.TIF:0006-0248-0474:6,2828,3645.991,2753,14383,474.076,248.224,188.496,10310863.000,10310863.000,6
9,20190816_foci_10ugml_50min_02.TIF:0006-0259-0052:6,2828,3952.641,2951,10210,52.568,258.934,188.496,11178070.000,11178070.000,6
10,20190816_foci_10ugml_50min_02.TIF:0006-0285-0191:6,2828,4443.099,2925,15109,191.680,284.802,188.496,12565085.000,12565085.000,6
11,20190816_foci_10ugml_50min_02.TIF:0006-0287-0363:6,2828,3919.295,2781,15052,362.905,286.762,188.496,11083766.000,11083766.000,6
12,20190816_foci_10ugml_50min_02.TIF:0006-0285-0115:6,2828,3810.209,2842,7829,115.031,285.224,188.496,10775272.000,10775272.000,6
13,20190816_foci_10ugml_50min_02.TIF:0006-0309-0265:6,2828,4244.262,2962,11865,265.119,309.206,188.496,12002773.000,12002773.000,6
14,20190816_foci_10ugml_50min_02.TIF:0006-0338-0140:6,2828,4204.859,2917,12072,139.561,337.945,188.496,11891341.000,11891341.000,6
15,20190816_foci_10ugml_50min_02.TIF:0006-0379-0228:6,2828,3821.468,2792,12685,228.335,378.594,188.496,10807112.000,10807112.000,6
16,20190816_foci_10ugml_50min_02.TIF:0006-0420-0351:6,2828,3936.678,2887,11471,351.287,420.163,188.496,11132926.000,11132926.000,6
17,20190816_foci_10ugml_50min_02.TIF:0006-0430-0440:6,2828,3614.664,2688,7667,440.212,430.202,188.496,10222269.000,10222269.000,6
18,20190816_foci_10ugml_50min_02.TIF:0006-0463-0066:6,2828,3756.286,2817,5942,66.723,462.833,188.496,10622776.000,10622776.000,6
19,20190816_foci_10ugml_50min_02.TIF:0006-0483-0486:6,2738,3561.591,2726,9227,485.245,483.316,188.496,9751636.000,9751636.000,6
20,20190816_foci_10ugml_50min_02.TIF:0005-0053-0237:5,32,8431.531,3704,16163,237.122,53.340,18.850,269809.000,269809.000,5
21,20190816_foci_10ugml_50min_02.TIF:0005-0053-0228:5,32,7200.281,4197,12807,228.292,53.190,18.850,230409.000,230409.000,5
22,20190816_foci_10ugml_50min_02.TIF:0005-0062-0241:5,32,7702.438,4460,11208,240.887,62.213,18.850,246478.000,246478.000,5
23,20190816_foci_10ugml_50min_02.TIF:0006-0051-0236:6,32,6320.312,3554,9421,236.140,51.065,18.850,202250.000,202250.000,6
24,20190816_foci_10ugml_50min_02.TIF:0006-0065-0214:6,32,5852.688,3800,9332,214.133,65.204,18.850,187286.000,187286.000,6
25,20190816_foci_10ugml_50min_02.TIF:0007-0054-0237:7,32,7199.688,4235,13469,237.243,54.062,18.850,230390.000,230390.000,7
26,20190816_foci_10ugml_50min_02.TIF:0007-0067-0211:7,32,6441.500,3893,11449,211.410,67.040,18.850,206128.000,206128.000,7
27,20190816_foci_10ugml_50min_02.TIF:0007-0065-0241:7,32,5794.656,3682,9605,241.193,65.183,18.850,185429.000,185429.000,7
28,20190816_foci_10ugml_50min_02.TIF:0007-0059-0213:7,32,4724.281,3409,8096,213.116,59.132,18.850,151177.000,151177.000,7
29,20190816_foci_10ugml_50min_02.TIF:0008-0058-0223:8,32,7243.469,4587,11787,223.275,57.969,18.850,231791.000,231791.000,8
30,20190816_foci_10ugml_50min_02.TIF:0008-0047-0226:8,32,5625.844,3602,9137,226.114,47.209,18.850,180027.000,180027.000,8
31,20190816_foci_10ugml_50min_02.TIF:0005-0124-0432:5,32,6635.531,4163,11868,432.082,124.021,18.850,212337.000,212337.000,5
32,20190816_foci_10ugml_50min_02.TIF:0005-0118-0432:5,32,4954.156,3525,8761,431.966,117.985,18.850,158533.000,158533.000,5
33,20190816_foci_10ugml_50min_02.TIF:0008-0119-0440:8,32,6163.219,3679,9164,440.019,119.015,18.850,197223.000,197223.000,8
34,20190816_foci_10ugml_50min_02.TIF:0008-0131-0184:8,32,6843.719,3800,13456,184.270,131.263,18.850,218999.000,218999.000,8
35,20190816_foci_10ugml_50min_02.TIF:0008-0110-0178:8,32,5349.781,3461,8747,178.151,110.207,18.850,171193.000,171193.000,8
36,20190816_foci_10ugml_50min_02.TIF:0009-0123-0200:9,32,11119.719,4412,22210,200.129,123.295,18.850,355831.000,355831.000,9
37,20190816_foci_10ugml_50min_02.TIF:0009-0121-0182:9,32,11650.188,4577,21406,182.182,121.417,18.850,372806.000,372806.000,9
38,20190816_foci_10ugml_50min_02.TIF:0009-0121-0177:9,32,8446.781,3595,18192,177.438,121.222,18.850,270297.000,270297.000,9
39,20190816_foci_10ugml_50min_02.TIF:0009-0130-0170:9,32,6633.156,3947,13301,169.975,130.158,18.850,212261.000,212261.000,9
