 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_10min_03.TIF:0006-0058-0448:6,2828,3429.814,2715,5478,448.507,58.340,188.496,9699515.000,9699515.000,6
2,20190816_foci_10ugml_10min_03.TIF:0006-0064-0082:6,2828,3716.767,2855,5891,81.547,64.340,188.496,10511018.000,10511018.000,6
3,20190816_foci_10ugml_10min_03.TIF:0006-0057-0191:6,2828,3691.529,2642,6017,190.933,57.878,188.496,10439643.000,10439643.000,6
4,20190816_foci_10ugml_10min_03.TIF:0006-0122-0157:6,2828,4592.623,3114,6615,157.209,122.116,188.496,12987939.000,12987939.000,6
5,20190816_foci_10ugml_10min_03.TIF:0006-0132-0035:6,2828,3643.832,2804,6439,35.502,131.867,188.496,10304757.000,10304757.000,6
6,20190816_foci_10ugml_10min_03.TIF:0006-0138-0094:6,2828,4001.145,2913,5897,94.293,138.073,188.496,11315237.000,11315237.000,6
7,20190816_foci_10ugml_10min_03.TIF:0006-0162-0271:6,2828,4105.785,2936,7672,271.214,162.255,188.496,11611159.000,11611159.000,6
8,20190816_foci_10ugml_10min_03.TIF:0006-0160-0444:6,2828,3657.594,2750,8526,444.015,159.779,188.496,10343676.000,10343676.000,6
9,20190816_foci_10ugml_10min_03.TIF:0006-0206-0385:6,2828,3828.156,2866,7668,384.917,206.362,188.496,10826024.000,10826024.000,6
10,20190816_foci_10ugml_10min_03.TIF:0006-0226-0278:6,2828,3701.901,2750,8487,277.778,225.737,188.496,10468976.000,10468976.000,6
11,20190816_foci_10ugml_10min_03.TIF:0006-0241-0082:6,2828,4290.346,2908,13013,82.542,240.926,188.496,12133098.000,12133098.000,6
12,20190816_foci_10ugml_10min_03.TIF:0006-0264-0211:6,2828,4440.078,3089,14152,210.547,264.394,188.496,12556541.000,12556541.000,6
13,20190816_foci_10ugml_10min_03.TIF:0006-0273-0146:6,2828,4642.246,2958,7334,146.246,273.144,188.496,13128272.000,13128272.000,6
14,20190816_foci_10ugml_10min_03.TIF:0006-0276-0447:6,2828,3580.518,2703,12097,446.663,276.057,188.496,10125705.000,10125705.000,6
15,20190816_foci_10ugml_10min_03.TIF:0006-0282-0380:6,2828,3913.528,2869,24624,380.135,281.729,188.496,11067457.000,11067457.000,6
16,20190816_foci_10ugml_10min_03.TIF:0006-0290-0286:6,2828,3745.419,2794,7364,285.920,290.071,188.496,10592045.000,10592045.000,6
17,20190816_foci_10ugml_10min_03.TIF:0006-0308-0045:6,2828,4303.437,2860,9116,45.437,308.577,188.496,12170119.000,12170119.000,6
18,20190816_foci_10ugml_10min_03.TIF:0006-0325-0327:6,2828,3621.047,2718,13239,327.019,324.778,188.496,10240321.000,10240321.000,6
19,20190816_foci_10ugml_10min_03.TIF:0006-0331-0166:6,2828,3805.169,2789,6222,166.143,330.676,188.496,10761019.000,10761019.000,6
20,20190816_foci_10ugml_10min_03.TIF:0006-0336-0111:6,2828,3950.906,2720,10234,110.717,335.915,188.496,11173161.000,11173161.000,6
21,20190816_foci_10ugml_10min_03.TIF:0006-0345-0224:6,2828,3813.240,2841,5944,223.585,345.244,188.496,10783842.000,10783842.000,6
22,20190816_foci_10ugml_10min_03.TIF:0006-0355-0441:6,2828,4069.029,3071,10098,441.428,355.321,188.496,11507215.000,11507215.000,6
23,20190816_foci_10ugml_10min_03.TIF:0006-0366-0030:6,2828,3761.329,2766,7128,30.171,366.036,188.496,10637039.000,10637039.000,6
24,20190816_foci_10ugml_10min_03.TIF:0006-0371-0280:6,2828,3855.241,2783,5790,280.039,370.901,188.496,10902621.000,10902621.000,6
25,20190816_foci_10ugml_10min_03.TIF:0006-0375-0374:6,2828,3628.995,2755,8576,374.578,374.877,188.496,10262799.000,10262799.000,6
26,20190816_foci_10ugml_10min_03.TIF:0006-0406-0092:6,2828,3685.512,2747,11857,92.393,405.741,188.496,10422627.000,10422627.000,6
27,20190816_foci_10ugml_10min_03.TIF:0006-0437-0185:6,2828,4357.386,3142,8763,185.234,436.988,188.496,12322689.000,12322689.000,6
28,20190816_foci_10ugml_10min_03.TIF:0006-0434-0476:6,2828,3446.230,2694,5153,475.985,434.209,188.496,9745938.000,9745938.000,6
29,20190816_foci_10ugml_10min_03.TIF:0006-0470-0094:6,2828,3662.607,2890,6134,94.061,469.629,188.496,10357854.000,10357854.000,6
30,20190816_foci_10ugml_10min_03.TIF:0006-0472-0264:6,2828,3524.876,2800,5439,263.602,472.299,188.496,9968349.000,9968349.000,6
31,20190816_foci_10ugml_10min_03.TIF:0006-0482-0459:6,2828,3307.606,2686,6345,459.353,481.485,188.496,9353911.000,9353911.000,6
32,20190816_foci_10ugml_10min_03.TIF:0007-0047-0466:7,32,6725.219,4487,9428,466.046,47.015,18.850,215207.000,215207.000,7
33,20190816_foci_10ugml_10min_03.TIF:0001-0079-0088:1,32,5850.844,3787,8808,88.182,79.000,18.850,187227.000,187227.000,1
34,20190816_foci_10ugml_10min_03.TIF:0008-0057-0055:8,32,6250.250,3739,9619,55.118,57.238,18.850,200008.000,200008.000,8
35,20190816_foci_10ugml_10min_03.TIF:0007-0071-0184:7,32,5626.938,3641,10048,184.155,71.129,18.850,180062.000,180062.000,7
36,20190816_foci_10ugml_10min_03.TIF:0009-0077-0179:9,32,5348.188,3587,10155,179.196,77.115,18.850,171142.000,171142.000,9
37,20190816_foci_10ugml_10min_03.TIF:0007-0125-0148:7,32,7030.719,4529,15641,148.066,125.215,18.850,224983.000,224983.000,7
38,20190816_foci_10ugml_10min_03.TIF:0008-0128-0161:8,32,4998.719,3675,9467,161.169,128.159,18.850,159959.000,159959.000,8
39,20190816_foci_10ugml_10min_03.TIF:0008-0117-0157:8,32,5391.125,4073,8735,157.090,116.970,18.850,172516.000,172516.000,8
40,20190816_foci_10ugml_10min_03.TIF:0009-0136-0158:9,32,5888.250,4135,9583,158.103,136.048,18.850,188424.000,188424.000,9
41,20190816_foci_10ugml_10min_03.TIF:0010-0113-0162:10,32,5669.312,3889,10764,162.110,113.023,18.850,181418.000,181418.000,10
42,20190816_foci_10ugml_10min_03.TIF:0012-0118-0147:12,32,6106.250,4483,9517,147.107,118.188,18.850,195400.000,195400.000,12
43,20190816_foci_10ugml_10min_03.TIF:0001-0167-0281:1,32,5835.844,3858,8724,281.153,167.011,18.850,186747.000,186747.000,1
44,20190816_foci_10ugml_10min_03.TIF:0003-0170-0254:3,32,6022.562,4093,9346,254.041,170.079,18.850,192722.000,192722.000,3
45,20190816_foci_10ugml_10min_03.TIF:0004-0164-0294:4,32,6427.562,3666,10158,293.953,164.223,18.850,205682.000,205682.000,4
46,20190816_foci_10ugml_10min_03.TIF:0005-0144-0275:5,32,6997.469,4273,10383,275.096,144.198,18.850,223919.000,223919.000,5
47,20190816_foci_10ugml_10min_03.TIF:0005-0182-0288:5,32,5608.906,4162,8432,287.993,182.120,18.850,179485.000,179485.000,5
48,20190816_foci_10ugml_10min_03.TIF:0005-0156-0462:5,32,6242.094,3474,9983,462.336,156.266,18.850,199747.000,199747.000,5
49,20190816_foci_10ugml_10min_03.TIF:0005-0149-0440:5,32,5492.094,3619,8978,440.094,149.108,18.850,175747.000,175747.000,5
50,20190816_foci_10ugml_10min_03.TIF:0006-0154-0452:6,32,4847.656,3458,8371,452.053,154.132,18.850,155125.000,155125.000,6
51,20190816_foci_10ugml_10min_03.TIF:0006-0150-0442:6,32,5335.406,3758,8526,441.977,150.095,18.850,170733.000,170733.000,6
52,20190816_foci_10ugml_10min_03.TIF:0007-0160-0445:7,32,5707.875,3921,9909,445.044,160.032,18.850,182652.000,182652.000,7
53,20190816_foci_10ugml_10min_03.TIF:0008-0146-0438:8,32,8536.406,3748,17880,438.441,146.447,18.850,273165.000,273165.000,8
54,20190816_foci_10ugml_10min_03.TIF:0009-0149-0440:9,32,6702.375,4222,12355,440.200,149.134,18.850,214476.000,214476.000,9
55,20190816_foci_10ugml_10min_03.TIF:0009-0160-0449:9,32,4940.812,3620,8883,448.997,159.997,18.850,158106.000,158106.000,9
56,20190816_foci_10ugml_10min_03.TIF:0010-0144-0431:10,32,6450.125,4388,9799,430.983,144.122,18.850,206404.000,206404.000,10
57,20190816_foci_10ugml_10min_03.TIF:0003-0212-0378:3,32,6606.844,4200,10280,378.007,212.082,18.850,211419.000,211419.000,3
58,20190816_foci_10ugml_10min_03.TIF:0007-0220-0404:7,32,5446.625,3559,9116,404.299,220.055,18.850,174292.000,174292.000,7
59,20190816_foci_10ugml_10min_03.TIF:0003-0220-0279:3,32,7898.969,4876,11096,279.148,220.152,18.850,252767.000,252767.000,3
60,20190816_foci_10ugml_10min_03.TIF:0006-0227-0283:6,32,4831.656,3506,8487,283.116,226.977,18.850,154613.000,154613.000,6
61,20190816_foci_10ugml_10min_03.TIF:0007-0224-0266:7,32,5977.031,3308,12409,266.237,224.040,18.850,191265.000,191265.000,7
62,20190816_foci_10ugml_10min_03.TIF:0007-0219-0277:7,32,4943.469,3584,8906,277.071,219.176,18.850,158191.000,158191.000,7
63,20190816_foci_10ugml_10min_03.TIF:0007-0236-0270:7,32,5500.000,3796,8390,269.942,235.975,18.850,176000.000,176000.000,7
64,20190816_foci_10ugml_10min_03.TIF:0008-0231-0272:8,32,5692.812,3620,10374,272.168,231.114,18.850,182170.000,182170.000,8
65,20190816_foci_10ugml_10min_03.TIF:0009-0224-0277:9,32,6288.938,3707,12386,277.164,223.991,18.850,201246.000,201246.000,9
66,20190816_foci_10ugml_10min_03.TIF:0011-0235-0279:11,32,6959.031,4362,10477,279.052,235.235,18.850,222689.000,222689.000,11
67,20190816_foci_10ugml_10min_03.TIF:0004-0252-0064:4,32,6230.219,4249,9250,64.186,252.047,18.850,199367.000,199367.000,4
68,20190816_foci_10ugml_10min_03.TIF:0006-0234-0089:6,32,7463.406,5114,13013,89.084,234.077,18.850,238829.000,238829.000,6
