 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_10min_02.TIF:0006-0060-0354:6,2828,3407.953,2739,4896,353.812,59.711,188.496,9637690.000,9637690.000,6
2,20190816_foci_10ugml_10min_02.TIF:0006-0071-0214:6,2828,3504.734,2738,5906,213.559,71.525,188.496,9911389.000,9911389.000,6
3,20190816_foci_10ugml_10min_02.TIF:0006-0094-0146:6,2828,3767.187,2734,7024,145.855,94.441,188.496,10653604.000,10653604.000,6
4,20190816_foci_10ugml_10min_02.TIF:0006-0108-0084:6,2828,3654.591,2816,5460,83.811,108.300,188.496,10335182.000,10335182.000,6
5,20190816_foci_10ugml_10min_02.TIF:0006-0127-0252:6,2828,4173.856,2826,6613,252.169,127.387,188.496,11803666.000,11803666.000,6
6,20190816_foci_10ugml_10min_02.TIF:0006-0133-0032:6,2828,3879.005,2808,5447,32.088,133.242,188.496,10969827.000,10969827.000,6
7,20190816_foci_10ugml_10min_02.TIF:0006-0176-0353:6,2828,4022.405,2865,7278,353.158,175.853,188.496,11375360.000,11375360.000,6
8,20190816_foci_10ugml_10min_02.TIF:0006-0191-0117:6,2828,3749.867,2848,6818,116.686,190.841,188.496,10604623.000,10604623.000,6
9,20190816_foci_10ugml_10min_02.TIF:0006-0197-0435:6,2828,3872.050,2924,7158,434.939,196.916,188.496,10950156.000,10950156.000,6
10,20190816_foci_10ugml_10min_02.TIF:0006-0194-0052:6,2828,3587.730,2788,5774,51.997,194.044,188.496,10146101.000,10146101.000,6
11,20190816_foci_10ugml_10min_02.TIF:0006-0212-0218:6,2828,4203.423,2927,8153,218.702,212.520,188.496,11887281.000,11887281.000,6
12,20190816_foci_10ugml_10min_02.TIF:0006-0247-0364:6,2828,3690.545,2821,5844,364.323,247.133,188.496,10436861.000,10436861.000,6
13,20190816_foci_10ugml_10min_02.TIF:0006-0274-0246:6,2828,4222.647,2922,9078,244.946,274.128,188.496,11941646.000,11941646.000,6
14,20190816_foci_10ugml_10min_02.TIF:0006-0291-0041:6,2828,3822.698,2857,6921,41.147,290.536,188.496,10810589.000,10810589.000,6
15,20190816_foci_10ugml_10min_02.TIF:0006-0307-0193:6,2828,3865.923,2730,8472,193.115,306.977,188.496,10932829.000,10932829.000,6
16,20190816_foci_10ugml_10min_02.TIF:0006-0317-0306:6,2828,4050.443,2867,9136,306.518,316.969,188.496,11454654.000,11454654.000,6
17,20190816_foci_10ugml_10min_02.TIF:0006-0334-0133:6,2828,3995.279,2861,12535,133.332,333.718,188.496,11298649.000,11298649.000,6
18,20190816_foci_10ugml_10min_02.TIF:0006-0364-0043:6,2828,3653.356,2870,6742,43.017,363.859,188.496,10331690.000,10331690.000,6
19,20190816_foci_10ugml_10min_02.TIF:0006-0365-0431:6,2828,3857.780,2774,8565,431.109,365.488,188.496,10909801.000,10909801.000,6
20,20190816_foci_10ugml_10min_02.TIF:0006-0373-0194:6,2828,4002.362,2833,10679,193.586,373.651,188.496,11318679.000,11318679.000,6
21,20190816_foci_10ugml_10min_02.TIF:0006-0393-0275:6,2828,3740.495,2820,8425,275.496,392.566,188.496,10578119.000,10578119.000,6
22,20190816_foci_10ugml_10min_02.TIF:0006-0405-0108:6,2828,3573.808,2667,7789,108.041,404.748,188.496,10106728.000,10106728.000,6
23,20190816_foci_10ugml_10min_02.TIF:0006-0458-0248:6,2828,3702.652,2888,10631,247.589,457.398,188.496,10471099.000,10471099.000,6
24,20190816_foci_10ugml_10min_02.TIF:0006-0453-0345:6,2828,3622.288,2769,5531,344.926,453.150,188.496,10243830.000,10243830.000,6
25,20190816_foci_10ugml_10min_02.TIF:0004-0085-0143:4,32,7503.000,5142,9997,143.085,85.059,18.850,240096.000,240096.000,4
26,20190816_foci_10ugml_10min_02.TIF:0007-0114-0145:7,32,8689.000,5127,12449,145.016,114.174,18.850,278048.000,278048.000,7
27,20190816_foci_10ugml_10min_02.TIF:0007-0082-0132:7,32,7476.406,4635,10204,132.140,82.194,18.850,239245.000,239245.000,7
28,20190816_foci_10ugml_10min_02.TIF:0008-0082-0132:8,32,7091.875,4958,11080,132.134,82.128,18.850,226940.000,226940.000,8
29,20190816_foci_10ugml_10min_02.TIF:0008-0113-0142:8,32,7263.250,4395,9978,142.027,113.216,18.850,232424.000,232424.000,8
30,20190816_foci_10ugml_10min_02.TIF:0009-0098-0169:9,32,6278.844,3665,10170,169.215,98.306,18.850,200923.000,200923.000,9
31,20190816_foci_10ugml_10min_02.TIF:0009-0113-0153:9,32,8015.344,4847,10374,153.150,113.189,18.850,256491.000,256491.000,9
