 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_40min_03.TIF:0006-0066-0100:6,2828,3756.801,2700,14989,99.730,66.638,188.496,10624234.000,10624234.000,6
2,20190816_foci_10ugml_40min_03.TIF:0006-0066-0029:6,2818,3645.027,2687,12665,29.094,66.204,188.496,10271686.000,10271686.000,6
3,20190816_foci_10ugml_40min_03.TIF:0006-0067-0258:6,2828,4212.635,2787,26070,257.710,67.836,188.496,11913331.000,11913331.000,6
4,20190816_foci_10ugml_40min_03.TIF:0006-0079-0325:6,2828,3788.447,3033,5534,324.885,79.262,188.496,10713727.000,10713727.000,6
5,20190816_foci_10ugml_40min_03.TIF:0006-0119-0205:6,2828,3667.835,2704,12865,204.947,119.223,188.496,10372636.000,10372636.000,6
6,20190816_foci_10ugml_40min_03.TIF:0006-0138-0078:6,2828,4233.093,2796,11135,78.616,138.476,188.496,11971186.000,11971186.000,6
7,20190816_foci_10ugml_40min_03.TIF:0006-0146-0424:6,2828,4054.545,2887,10748,423.872,146.022,188.496,11466252.000,11466252.000,6
8,20190816_foci_10ugml_40min_03.TIF:0006-0151-0276:6,2828,3742.757,2812,7466,276.485,151.291,188.496,10584517.000,10584517.000,6
9,20190816_foci_10ugml_40min_03.TIF:0006-0192-0114:6,2828,4041.821,2850,7101,113.871,191.819,188.496,11430269.000,11430269.000,6
10,20190816_foci_10ugml_40min_03.TIF:0006-0229-0208:6,2828,4059.679,2800,17032,208.625,229.031,188.496,11480773.000,11480773.000,6
11,20190816_foci_10ugml_40min_03.TIF:0006-0256-0264:6,2828,4412.766,2874,16060,264.087,256.592,188.496,12479303.000,12479303.000,6
12,20190816_foci_10ugml_40min_03.TIF:0006-0264-0137:6,2828,4434.705,2894,17910,136.637,264.087,188.496,12541347.000,12541347.000,6
13,20190816_foci_10ugml_40min_03.TIF:0006-0272-0423:6,2828,3998.350,2807,16781,422.948,271.606,188.496,11307334.000,11307334.000,6
14,20190816_foci_10ugml_40min_03.TIF:0006-0293-0077:6,2828,3915.329,2962,7816,77.395,293.070,188.496,11072551.000,11072551.000,6
15,20190816_foci_10ugml_40min_03.TIF:0006-0330-0370:6,2828,4112.969,2902,20753,370.253,329.443,188.496,11631476.000,11631476.000,6
16,20190816_foci_10ugml_40min_03.TIF:0006-0336-0216:6,2828,4133.594,2845,18904,216.275,336.066,188.496,11689805.000,11689805.000,6
17,20190816_foci_10ugml_40min_03.TIF:0006-0342-0139:6,2828,4013.837,2901,11726,138.984,341.835,188.496,11351130.000,11351130.000,6
18,20190816_foci_10ugml_40min_03.TIF:0006-0365-0427:6,2828,3798.764,2824,5612,427.099,365.123,188.496,10742904.000,10742904.000,6
19,20190816_foci_10ugml_40min_03.TIF:0006-0377-0072:6,2828,4162.225,3010,6013,72.000,377.216,188.496,11770772.000,11770772.000,6
20,20190816_foci_10ugml_40min_03.TIF:0006-0425-0354:6,2828,3771.332,2807,8427,353.872,425.288,188.496,10665328.000,10665328.000,6
21,20190816_foci_10ugml_40min_03.TIF:0006-0442-0096:6,2828,3858.251,2870,10697,96.373,441.664,188.496,10911134.000,10911134.000,6
22,20190816_foci_10ugml_40min_03.TIF:0006-0460-0176:6,2828,3676.603,2809,6337,175.853,459.615,188.496,10397433.000,10397433.000,6
23,20190816_foci_10ugml_40min_03.TIF:0001-0066-0028:1,32,5357.688,3397,8428,27.632,65.947,18.850,171446.000,171446.000,1
24,20190816_foci_10ugml_40min_03.TIF:0005-0056-0092:5,32,5796.844,3342,10959,92.251,56.261,18.850,185499.000,185499.000,5
25,20190816_foci_10ugml_40min_03.TIF:0006-0072-0089:6,32,6822.375,3958,14989,89.097,72.280,18.850,218316.000,218316.000,6
26,20190816_foci_10ugml_40min_03.TIF:0008-0061-0084:8,32,4991.531,3521,8601,84.217,61.004,18.850,159729.000,159729.000,8
27,20190816_foci_10ugml_40min_03.TIF:0001-0066-0021:1,32,6876.031,4465,9650,21.063,66.110,18.850,220033.000,220033.000,1
28,20190816_foci_10ugml_40min_03.TIF:0002-0066-0021:2,32,6937.438,4032,10658,20.953,66.134,18.850,221998.000,221998.000,2
29,20190816_foci_10ugml_40min_03.TIF:0004-0051-0020:4,32,7096.375,3952,10864,20.290,51.062,18.850,227084.000,227084.000,4
30,20190816_foci_10ugml_40min_03.TIF:0005-0081-0023:5,32,5878.625,3672,9219,22.936,81.213,18.850,188116.000,188116.000,5
31,20190816_foci_10ugml_40min_03.TIF:0006-0054-0027:6,32,8235.375,4352,12665,27.083,54.226,18.850,263532.000,263532.000,6
