 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_40min_02.TIF:0006-0077-0483:6,2818,3660.377,2754,5639,482.966,77.040,188.496,10314942.000,10314942.000,6
2,20190816_foci_10ugml_40min_02.TIF:0006-0091-0102:6,2828,3777.955,2821,8707,101.827,92.033,188.496,10684057.000,10684057.000,6
3,20190816_foci_10ugml_40min_02.TIF:0006-0099-0392:6,2828,3963.955,2728,10531,392.108,99.527,188.496,11210065.000,11210065.000,6
4,20190816_foci_10ugml_40min_02.TIF:0006-0159-0082:6,2828,4100.240,3055,11308,81.625,159.330,188.496,11595479.000,11595479.000,6
5,20190816_foci_10ugml_40min_02.TIF:0006-0166-0283:6,2828,4108.651,2865,14583,283.063,166.161,188.496,11619264.000,11619264.000,6
6,20190816_foci_10ugml_40min_02.TIF:0006-0225-0236:6,2828,4080.761,2862,8964,236.141,225.235,188.496,11540391.000,11540391.000,6
7,20190816_foci_10ugml_40min_02.TIF:0006-0227-0034:6,2828,3855.467,2839,10436,34.305,227.120,188.496,10903261.000,10903261.000,6
8,20190816_foci_10ugml_40min_02.TIF:0006-0270-0269:6,2828,4147.820,2839,19277,268.713,269.183,188.496,11730034.000,11730034.000,6
9,20190816_foci_10ugml_40min_02.TIF:0006-0286-0116:6,2828,4443.644,3080,9949,116.196,286.395,188.496,12566625.000,12566625.000,6
10,20190816_foci_10ugml_40min_02.TIF:0006-0348-0166:6,2828,4372.638,2982,19256,166.385,347.305,188.496,12365819.000,12365819.000,6
11,20190816_foci_10ugml_40min_02.TIF:0006-0373-0040:6,2828,3694.775,2805,5300,40.232,373.032,188.496,10448825.000,10448825.000,6
12,20190816_foci_10ugml_40min_02.TIF:0006-0420-0090:6,2828,3609.653,2789,7849,89.998,420.022,188.496,10208098.000,10208098.000,6
13,20190816_foci_10ugml_40min_02.TIF:0006-0426-0162:6,2828,3714.328,2738,9416,162.218,426.029,188.496,10504120.000,10504120.000,6
