 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_60min_02.TIF:0006-0084-0463:6,2828,3388.784,2715,9930,462.791,84.355,188.496,9583482.000,9583482.000,6
2,20190816_foci_10ugml_60min_02.TIF:0006-0095-0239:6,2828,4016.687,2880,7666,239.115,95.238,188.496,11359192.000,11359192.000,6
3,20190816_foci_10ugml_60min_02.TIF:0006-0103-0055:6,2828,3997.290,2684,19162,55.370,102.054,188.496,11304335.000,11304335.000,6
4,20190816_foci_10ugml_60min_02.TIF:0006-0135-0162:6,2828,4397.109,2958,8072,162.180,135.257,188.496,12435023.000,12435023.000,6
5,20190816_foci_10ugml_60min_02.TIF:0006-0180-0042:6,2828,4317.498,3046,10597,41.588,180.175,188.496,12209883.000,12209883.000,6
6,20190816_foci_10ugml_60min_02.TIF:0006-0259-0118:6,2828,4527.451,3277,11127,118.209,258.939,188.496,12803631.000,12803631.000,6
7,20190816_foci_10ugml_60min_02.TIF:0006-0263-0307:6,2828,4249.462,2859,12236,307.079,263.493,188.496,12017479.000,12017479.000,6
8,20190816_foci_10ugml_60min_02.TIF:0006-0326-0112:6,2828,4739.459,3161,9634,111.992,325.811,188.496,13403190.000,13403190.000,6
9,20190816_foci_10ugml_60min_02.TIF:0006-0342-0341:6,2828,3818.922,2779,7260,340.845,341.871,188.496,10799911.000,10799911.000,6
10,20190816_foci_10ugml_60min_02.TIF:0006-0372-0185:6,2828,4143.448,2957,7755,184.820,372.050,188.496,11717671.000,11717671.000,6
11,20190816_foci_10ugml_60min_02.TIF:0006-0429-0470:6,2828,3410.274,2740,4902,469.862,429.252,188.496,9644256.000,9644256.000,6
12,20190816_foci_10ugml_60min_02.TIF:0006-0438-0228:6,2828,3828.408,2862,14379,227.816,438.130,188.496,10826738.000,10826738.000,6
13,20190816_foci_10ugml_60min_02.TIF:0006-0458-0145:6,2828,3815.533,2928,10954,144.991,457.684,188.496,10790326.000,10790326.000,6
