 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
56,20190816_foci_10ugml_60min_03.TIF:0010-0090-0248:10,32,4944.625,3613,8447,248.036,90.016,18.850,158228.000,158228.000,10
57,20190816_foci_10ugml_60min_03.TIF:0010-0077-0235:10,32,5442.438,3765,8033,235.032,77.182,18.850,174158.000,174158.000,10
58,20190816_foci_10ugml_60min_03.TIF:0003-0103-0173:3,32,6745.344,3860,10481,173.148,103.099,18.850,215851.000,215851.000,3
59,20190816_foci_10ugml_60min_03.TIF:0003-0118-0179:3,32,4978.406,3663,7816,178.989,118.100,18.850,159309.000,159309.000,3
60,20190816_foci_10ugml_60min_03.TIF:0004-0128-0160:4,32,7633.562,3582,12925,159.915,128.189,18.850,244274.000,244274.000,4
61,20190816_foci_10ugml_60min_03.TIF:0004-0105-0145:4,32,5648.344,3113,9435,145.238,105.262,18.850,180747.000,180747.000,4
62,20190816_foci_10ugml_60min_03.TIF:0005-0105-0179:5,32,7733.875,3661,15216,179.110,105.316,18.850,247484.000,247484.000,5
63,20190816_foci_10ugml_60min_03.TIF:0005-0104-0150:5,32,6573.031,3491,11788,150.176,104.417,18.850,210337.000,210337.000,5
64,20190816_foci_10ugml_60min_03.TIF:0005-0104-0160:5,32,6139.281,3528,11371,160.008,104.225,18.850,196457.000,196457.000,5
65,20190816_foci_10ugml_60min_03.TIF:0006-0112-0178:6,32,8779.000,4162,15876,178.303,112.081,18.850,280928.000,280928.000,6
66,20190816_foci_10ugml_60min_03.TIF:0006-0123-0154:6,32,6491.531,3641,14464,154.263,123.184,18.850,207729.000,207729.000,6
67,20190816_foci_10ugml_60min_03.TIF:0006-0100-0158:6,32,6163.344,3865,11745,158.148,100.000,18.850,197227.000,197227.000,6
68,20190816_foci_10ugml_60min_03.TIF:0006-0114-0145:6,32,4561.531,3204,8584,145.173,114.053,18.850,145969.000,145969.000,6
69,20190816_foci_10ugml_60min_03.TIF:0008-0113-0172:8,32,5872.406,3611,12134,172.126,113.147,18.850,187917.000,187917.000,8
70,20190816_foci_10ugml_60min_03.TIF:0008-0101-0170:8,32,5374.156,3749,9081,169.989,101.115,18.850,171973.000,171973.000,8
71,20190816_foci_10ugml_60min_03.TIF:0008-0113-0183:8,32,5309.656,3674,8321,183.017,112.981,18.850,169909.000,169909.000,8
72,20190816_foci_10ugml_60min_03.TIF:0009-0114-0166:9,32,5155.594,3269,8419,166.186,114.059,18.850,164979.000,164979.000,9
73,20190816_foci_10ugml_60min_03.TIF:0006-0147-0251:6,32,14818.906,8539,18398,250.790,146.998,18.850,474205.000,474205.000,6
74,20190816_foci_10ugml_60min_03.TIF:0007-0148-0240:7,32,13694.094,7149,18747,240.242,148.049,18.850,438211.000,438211.000,7
75,20190816_foci_10ugml_60min_03.TIF:0008-0143-0232:8,32,10124.094,5346,13722,232.216,142.916,18.850,323971.000,323971.000,8
76,20190816_foci_10ugml_60min_03.TIF:0009-0130-0257:9,32,6285.219,3597,14510,257.106,130.311,18.850,201127.000,201127.000,9
77,20190816_foci_10ugml_60min_03.TIF:0009-0144-0230:9,32,9167.188,4853,13392,230.252,144.199,18.850,293350.000,293350.000,9
78,20190816_foci_10ugml_60min_03.TIF:0009-0165-0246:9,32,7681.750,5017,10442,246.051,164.941,18.850,245816.000,245816.000,9
79,20190816_foci_10ugml_60min_03.TIF:0009-0150-0248:9,32,5656.344,3833,9557,248.199,150.017,18.850,181003.000,181003.000,9
80,20190816_foci_10ugml_60min_03.TIF:0010-0126-0249:10,32,9394.656,4395,14572,249.220,126.138,18.850,300629.000,300629.000,10
81,20190816_foci_10ugml_60min_03.TIF:0010-0136-0238:10,32,8396.125,3907,14720,238.175,136.302,18.850,268676.000,268676.000,10
82,20190816_foci_10ugml_60min_03.TIF:0010-0140-0253:10,32,5657.500,3980,9304,252.994,140.068,18.850,181040.000,181040.000,10
83,20190816_foci_10ugml_60min_03.TIF:0011-0141-0225:11,32,8656.219,4356,12560,225.342,141.152,18.850,276999.000,276999.000,11
84,20190816_foci_10ugml_60min_03.TIF:0011-0141-0250:11,32,6100.938,4121,10118,250.176,140.896,18.850,195230.000,195230.000,11
85,20190816_foci_10ugml_60min_03.TIF:0012-0135-0235:12,32,6422.250,3694,11495,235.154,135.151,18.850,205512.000,205512.000,12
86,20190816_foci_10ugml_60min_03.TIF:0012-0145-0226:12,32,8956.969,5115,11958,226.190,144.928,18.850,286623.000,286623.000,12
87,20190816_foci_10ugml_60min_03.TIF:0012-0136-0241:12,32,5601.375,3628,8972,241.061,136.164,18.850,179244.000,179244.000,12
88,20190816_foci_10ugml_60min_03.TIF:0003-0148-0414:3,32,7052.438,4220,9918,414.276,148.030,18.850,225678.000,225678.000,3
89,20190816_foci_10ugml_60min_03.TIF:0003-0159-0432:3,32,5952.375,3878,8699,432.087,159.221,18.850,190476.000,190476.000,3
90,20190816_foci_10ugml_60min_03.TIF:0004-0152-0426:4,32,6360.094,3844,12499,426.174,152.018,18.850,203523.000,203523.000,4
91,20190816_foci_10ugml_60min_03.TIF:0004-0172-0422:4,32,5917.094,3848,9342,422.156,172.154,18.850,189347.000,189347.000,4
92,20190816_foci_10ugml_60min_03.TIF:0005-0148-0417:5,32,8650.469,4627,17134,416.894,148.203,18.850,276815.000,276815.000,5
93,20190816_foci_10ugml_60min_03.TIF:0005-0149-0428:5,32,7046.812,4497,12528,428.038,149.095,18.850,225498.000,225498.000,5
94,20190816_foci_10ugml_60min_03.TIF:0005-0156-0429:5,32,5604.594,4007,9948,429.214,156.064,18.850,179347.000,179347.000,5
95,20190816_foci_10ugml_60min_03.TIF:0005-0153-0432:5,32,5941.344,3914,10092,432.083,153.025,18.850,190123.000,190123.000,5
96,20190816_foci_10ugml_60min_03.TIF:0006-0157-0416:6,32,9089.281,4887,15368,416.066,157.147,18.850,290857.000,290857.000,6
97,20190816_foci_10ugml_60min_03.TIF:0006-0150-0415:6,32,6828.750,4039,12113,415.185,150.028,18.850,218520.000,218520.000,6
98,20190816_foci_10ugml_60min_03.TIF:0006-0150-0427:6,32,7944.031,5042,11849,427.154,150.224,18.850,254209.000,254209.000,6
99,20190816_foci_10ugml_60min_03.TIF:0006-0177-0417:6,32,5867.812,3743,8267,417.107,177.070,18.850,187770.000,187770.000,6
100,20190816_foci_10ugml_60min_03.TIF:0007-0143-0431:7,32,9599.344,4205,21156,431.412,143.242,18.850,307179.000,307179.000,7
101,20190816_foci_10ugml_60min_03.TIF:0007-0141-0419:7,32,8472.875,4415,14641,419.182,141.176,18.850,271132.000,271132.000,7
102,20190816_foci_10ugml_60min_03.TIF:0007-0147-0424:7,32,9634.562,5326,15234,424.157,147.206,18.850,308306.000,308306.000,7
103,20190816_foci_10ugml_60min_03.TIF:0007-0160-0447:7,32,5417.875,3808,9237,447.071,160.221,18.850,173372.000,173372.000,7
104,20190816_foci_10ugml_60min_03.TIF:0007-0167-0431:7,32,6462.375,4454,9102,431.094,166.954,18.850,206796.000,206796.000,7
105,20190816_foci_10ugml_60min_03.TIF:0008-0161-0425:8,32,6914.469,3956,13825,425.289,161.243,18.850,221263.000,221263.000,8
106,20190816_foci_10ugml_60min_03.TIF:0008-0151-0417:8,32,6057.188,4172,10586,417.026,151.201,18.850,193830.000,193830.000,8
107,20190816_foci_10ugml_60min_03.TIF:0008-0140-0423:8,32,6067.812,3676,10299,422.858,140.234,18.850,194170.000,194170.000,8
108,20190816_foci_10ugml_60min_03.TIF:0008-0163-0419:8,32,5234.062,3847,9486,419.136,163.040,18.850,167490.000,167490.000,8
109,20190816_foci_10ugml_60min_03.TIF:0008-0166-0431:8,32,6292.656,4295,9267,431.058,166.167,18.850,201365.000,201365.000,8
110,20190816_foci_10ugml_60min_03.TIF:0003-0179-0299:3,32,6164.500,3794,9580,299.160,179.283,18.850,197264.000,197264.000,3
111,20190816_foci_10ugml_60min_03.TIF:0004-0178-0312:4,32,7923.906,3958,15344,311.995,178.239,18.850,253565.000,253565.000,4
112,20190816_foci_10ugml_60min_03.TIF:0004-0192-0306:4,32,7284.625,3928,12623,306.070,192.232,18.850,233108.000,233108.000,4
113,20190816_foci_10ugml_60min_03.TIF:0004-0189-0298:4,32,5454.500,3625,10372,298.164,189.166,18.850,174544.000,174544.000,4
114,20190816_foci_10ugml_60min_03.TIF:0005-0155-0282:5,32,5961.562,3547,10907,282.155,155.182,18.850,190770.000,190770.000,5
115,20190816_foci_10ugml_60min_03.TIF:0005-0170-0294:5,32,6071.031,3760,10759,294.000,169.916,18.850,194273.000,194273.000,5
116,20190816_foci_10ugml_60min_03.TIF:0006-0169-0317:6,32,6350.000,3854,11930,317.073,169.038,18.850,203200.000,203200.000,6
117,20190816_foci_10ugml_60min_03.TIF:0006-0185-0293:6,32,6077.094,3710,9829,293.260,185.101,18.850,194467.000,194467.000,6
118,20190816_foci_10ugml_60min_03.TIF:0006-0172-0283:6,32,5375.375,3348,8353,283.170,171.940,18.850,172012.000,172012.000,6
119,20190816_foci_10ugml_60min_03.TIF:0007-0173-0303:7,32,7409.938,4692,12870,303.162,173.173,18.850,237118.000,237118.000,7
120,20190816_foci_10ugml_60min_03.TIF:0007-0168-0317:7,32,6515.062,4331,10585,317.198,168.169,18.850,208482.000,208482.000,7
121,20190816_foci_10ugml_60min_03.TIF:0007-0188-0316:7,32,6198.562,3627,10881,316.007,187.936,18.850,198354.000,198354.000,7
122,20190816_foci_10ugml_60min_03.TIF:0007-0181-0298:7,32,5924.188,3944,10296,297.990,181.116,18.850,189574.000,189574.000,7
123,20190816_foci_10ugml_60min_03.TIF:0008-0182-0298:8,32,8441.969,4521,15333,298.160,182.137,18.850,270143.000,270143.000,8
124,20190816_foci_10ugml_60min_03.TIF:0008-0173-0304:8,32,7226.219,4419,12177,304.164,173.063,18.850,231239.000,231239.000,8
125,20190816_foci_10ugml_60min_03.TIF:0008-0173-0293:8,32,5648.406,3794,8927,293.015,173.014,18.850,180749.000,180749.000,8
126,20190816_foci_10ugml_60min_03.TIF:0008-0189-0310:8,32,6030.812,4154,8608,309.931,189.093,18.850,192986.000,192986.000,8
127,20190816_foci_10ugml_60min_03.TIF:0009-0166-0308:9,32,6651.969,3345,12954,308.265,166.342,18.850,212863.000,212863.000,9
128,20190816_foci_10ugml_60min_03.TIF:0009-0184-0300:9,32,7059.406,4357,11493,299.984,184.193,18.850,225901.000,225901.000,9
129,20190816_foci_10ugml_60min_03.TIF:0009-0189-0308:9,32,6643.188,4008,11133,308.153,189.203,18.850,212582.000,212582.000,9
130,20190816_foci_10ugml_60min_03.TIF:0002-0251-0155:2,32,8893.781,5980,11169,154.816,251.001,18.850,284601.000,284601.000,2
131,20190816_foci_10ugml_60min_03.TIF:0003-0242-0167:3,32,6239.094,4720,9051,167.141,242.059,18.850,199651.000,199651.000,3
132,20190816_foci_10ugml_60min_03.TIF:0004-0264-0167:4,32,7100.875,4226,11497,167.115,264.077,18.850,227228.000,227228.000,4
133,20190816_foci_10ugml_60min_03.TIF:0003-0307-0151:3,32,5622.469,3570,8536,151.121,307.208,18.850,179919.000,179919.000,3
134,20190816_foci_10ugml_60min_03.TIF:0005-0311-0152:5,32,5079.125,3971,8277,152.103,311.003,18.850,162532.000,162532.000,5
135,20190816_foci_10ugml_60min_03.TIF:0006-0303-0157:6,32,5072.438,3481,8052,157.145,303.052,18.850,162318.000,162318.000,6
136,20190816_foci_10ugml_60min_03.TIF:0007-0313-0157:7,32,7326.406,4098,14597,157.221,313.253,18.850,234445.000,234445.000,7
137,20190816_foci_10ugml_60min_03.TIF:0007-0306-0171:7,32,5807.375,3693,9081,171.209,306.206,18.850,185836.000,185836.000,7
138,20190816_foci_10ugml_60min_03.TIF:0007-0327-0169:7,32,6082.281,4118,8996,169.089,326.988,18.850,194633.000,194633.000,7
139,20190816_foci_10ugml_60min_03.TIF:0008-0311-0163:8,32,6953.219,4192,11065,163.135,311.093,18.850,222503.000,222503.000,8
