 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_30min_02.TIF:0006-0057-0288:6,2828,3422.222,2637,11512,287.982,57.438,188.496,9678044,9678044,6
2,20190816_foci_10ugml_30min_02.TIF:0006-0057-0109:6,2828,3515.495,2641,15150,108.815,57.294,188.496,9941821,9941821,6
3,20190816_foci_10ugml_30min_02.TIF:0006-0095-0202:6,2828,4426.926,2946,8040,202.777,94.767,188.496,12519347,12519347,6
4,20190816_foci_10ugml_30min_02.TIF:0006-0103-0058:6,2828,3506.569,2727,5312,58.161,103.327,188.496,9916576,9916576,6
5,20190816_foci_10ugml_30min_02.TIF:0006-0109-0366:6,2828,3564.861,2669,10415,366.018,109.315,188.496,10081426,10081426,6
6,20190816_foci_10ugml_30min_02.TIF:0006-0134-0155:6,2828,3999.812,2732,16160,155.592,133.960,188.496,11311468,11311468,6
7,20190816_foci_10ugml_30min_02.TIF:0006-0153-0290:6,2828,3878.588,2699,13293,290.474,153.481,188.496,10968648,10968648,6
8,20190816_foci_10ugml_30min_02.TIF:0006-0156-0469:6,2828,3467.132,2704,6806,469.158,156.081,188.496,9805050,9805050,6
9,20190816_foci_10ugml_30min_02.TIF:0006-0186-0362:6,2828,3862.739,2719,10666,361.707,186.179,188.496,10923826,10923826,6
10,20190816_foci_10ugml_30min_02.TIF:0006-0217-0290:6,2828,3808.539,2771,10388,290.040,216.546,188.496,10770548,10770548,6
11,20190816_foci_10ugml_30min_02.TIF:0006-0249-0206:6,2828,4776.275,3090,15896,206.438,249.094,188.496,13507306,13507306,6
12,20190816_foci_10ugml_30min_02.TIF:0006-0250-0049:6,2828,3757.132,2698,23050,49.043,249.593,188.496,10625169,10625169,6
13,20190816_foci_10ugml_30min_02.TIF:0006-0252-0373:6,2828,3704.970,2758,6235,373.239,252.375,188.496,10477654,10477654,6
14,20190816_foci_10ugml_30min_02.TIF:0006-0294-0163:6,2828,4060.512,2822,5826,163.563,293.544,188.496,11483127,11483127,6
15,20190816_foci_10ugml_30min_02.TIF:0006-0316-0286:6,2828,4169.068,2784,19725,285.608,316.462,188.496,11790125,11790125,6
16,20190816_foci_10ugml_30min_02.TIF:0006-0338-0396:6,2828,3851.341,2855,9058,396.125,337.507,188.496,10891592,10891592,6
17,20190816_foci_10ugml_30min_02.TIF:0006-0384-0115:6,2828,3881.433,2928,7681,114.744,383.598,188.496,10976692,10976692,6
18,20190816_foci_10ugml_30min_02.TIF:0006-0437-0155:6,2828,4257.020,2829,20235,155.171,436.455,188.496,12038852,12038852,6
19,20190816_foci_10ugml_30min_02.TIF:0006-0433-0225:6,2828,3765.098,2767,16242,225.088,432.795,188.496,10647698,10647698,6
20,20190816_foci_10ugml_30min_02.TIF:0006-0464-0402:6,2828,3413.012,2749,9366,401.990,464.123,188.496,9651999,9651999,6
21,20190816_foci_10ugml_30min_02.TIF:0006-0474-0073:6,2828,3600.290,2780,13079,73.443,473.792,188.496,10181621,10181621,6
22,20190816_foci_10ugml_30min_02.TIF:0003-0060-0279:3,32,5061.938,3221,11276,279.231,60.179,18.850,161982,161982,3
23,20190816_foci_10ugml_30min_02.TIF:0003-0067-0293:3,32,4780.156,3309,8880,293.012,67.136,18.850,152965,152965,3
24,20190816_foci_10ugml_30min_02.TIF:0004-0069-0283:4,32,7359.000,4290,12458,283.011,69.146,18.850,235488,235488,4
25,20190816_foci_10ugml_30min_02.TIF:0006-0064-0292:6,32,6529.156,3528,11512,292.113,64.384,18.850,208933,208933,6
26,20190816_foci_10ugml_30min_02.TIF:0006-0071-0284:6,32,5073.875,3728,8606,283.956,70.973,18.850,162364,162364,6
27,20190816_foci_10ugml_30min_02.TIF:0007-0074-0289:7,32,5461.188,3585,9434,289.074,73.949,18.850,174758,174758,7
28,20190816_foci_10ugml_30min_02.TIF:0007-0070-0279:7,32,6124.875,3523,8958,279.208,70.081,18.850,195996,195996,7
29,20190816_foci_10ugml_30min_02.TIF:0008-0071-0285:8,32,6135.469,3688,10476,284.913,71.164,18.850,196335,196335,8
30,20190816_foci_10ugml_30min_02.TIF:0005-0056-0105:5,32,5530.062,3918,10074,105.109,56.201,18.850,176962,176962,5
31,20190816_foci_10ugml_30min_02.TIF:0006-0051-0104:6,32,7780.156,4029,15150,104.154,51.215,18.850,248965,248965,6
32,20190816_foci_10ugml_30min_02.TIF:0006-0054-0111:6,32,4692.875,3400,9371,111.068,54.071,18.850,150172,150172,6
33,20190816_foci_10ugml_30min_02.TIF:0007-0073-0113:7,32,6339.750,3415,12905,113.170,73.136,18.850,202872,202872,7
34,20190816_foci_10ugml_30min_02.TIF:0007-0067-0106:7,32,7576.219,4407,12977,105.836,67.022,18.850,242439,242439,7
35,20190816_foci_10ugml_30min_02.TIF:0007-0060-0101:7,32,5804.188,3594,10596,101.008,60.100,18.850,185734,185734,7
36,20190816_foci_10ugml_30min_02.TIF:0007-0053-0115:7,32,5129.938,3368,7971,115.118,52.996,18.850,164158,164158,7
37,20190816_foci_10ugml_30min_02.TIF:0008-0045-0116:8,32,8090.531,3597,16115,116.249,45.437,18.850,258897,258897,8
