 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_30min_03.TIF:0006-0081-0417:6,2828,3329.624,2646,7990,416.716,81.125,188.496,9416177.000,9416177.000,6
2,20190816_foci_10ugml_30min_03.TIF:0006-0088-0219:6,2828,3714.077,2743,12344,219.199,88.548,188.496,10503411.000,10503411.000,6
3,20190816_foci_10ugml_30min_03.TIF:0006-0102-0290:6,2828,3775.890,2736,10210,290.083,102.101,188.496,10678216.000,10678216.000,6
4,20190816_foci_10ugml_30min_03.TIF:0006-0147-0410:6,2828,3602.149,2849,6944,410.198,147.005,188.496,10186877.000,10186877.000,6
5,20190816_foci_10ugml_30min_03.TIF:0006-0149-0204:6,2828,3989.471,2848,10797,203.741,148.738,188.496,11282223.000,11282223.000,6
6,20190816_foci_10ugml_30min_03.TIF:0006-0156-0095:6,2828,3739.291,2711,12285,95.869,156.165,188.496,10574716.000,10574716.000,6
7,20190816_foci_10ugml_30min_03.TIF:0006-0214-0132:6,2828,4235.566,2908,11861,132.168,213.886,188.496,11978181.000,11978181.000,6
8,20190816_foci_10ugml_30min_03.TIF:0006-0214-0313:6,2828,4033.614,2793,14336,313.146,214.146,188.496,11407060.000,11407060.000,6
9,20190816_foci_10ugml_30min_03.TIF:0006-0231-0430:6,2828,3569.853,2686,10945,429.958,230.952,188.496,10095545.000,10095545.000,6
10,20190816_foci_10ugml_30min_03.TIF:0006-0268-0170:6,2828,4407.603,2877,18710,169.626,267.975,188.496,12464700.000,12464700.000,6
11,20190816_foci_10ugml_30min_03.TIF:0006-0278-0248:6,2828,4052.717,3002,13508,247.896,278.155,188.496,11461083.000,11461083.000,6
12,20190816_foci_10ugml_30min_03.TIF:0006-0356-0329:6,2828,4255.403,3073,13794,329.424,356.128,188.496,12034281.000,12034281.000,6
13,20190816_foci_10ugml_30min_03.TIF:0006-0357-0441:6,2828,4006.970,2832,13875,440.787,356.967,188.496,11331710.000,11331710.000,6
14,20190816_foci_10ugml_30min_03.TIF:0006-0362-0061:6,2828,4119.684,3006,9799,60.987,361.856,188.496,11650465.000,11650465.000,6
15,20190816_foci_10ugml_30min_03.TIF:0006-0381-0249:6,2828,3927.804,2787,12316,248.790,381.142,188.496,11107829.000,11107829.000,6
16,20190816_foci_10ugml_30min_03.TIF:0006-0385-0145:6,2828,4029.971,2815,14988,144.521,385.444,188.496,11396758.000,11396758.000,6
17,20190816_foci_10ugml_30min_03.TIF:0006-0448-0067:6,2828,3509.633,2746,6111,67.178,447.897,188.496,9925241.000,9925241.000,6
18,20190816_foci_10ugml_30min_03.TIF:0006-0462-0358:6,2828,3657.851,2672,5982,357.848,461.606,188.496,10344403.000,10344403.000,6
19,20190816_foci_10ugml_30min_03.TIF:0003-0093-0404:3,32,5891.906,3376,9612,404.134,93.058,18.850,188541.000,188541.000,3
20,20190816_foci_10ugml_30min_03.TIF:0004-0078-0398:4,32,5073.531,3335,9525,398.158,78.015,18.850,162353.000,162353.000,4
21,20190816_foci_10ugml_30min_03.TIF:0006-0075-0404:6,32,5118.031,3587,7990,404.116,75.087,18.850,163777.000,163777.000,6
22,20190816_foci_10ugml_30min_03.TIF:0007-0090-0403:7,32,5724.938,3784,8027,403.082,89.969,18.850,183198.000,183198.000,7
23,20190816_foci_10ugml_30min_03.TIF:0002-0096-0213:2,32,4842.719,3335,8643,213.069,96.031,18.850,154967.000,154967.000,2
24,20190816_foci_10ugml_30min_03.TIF:0004-0096-0222:4,32,5759.406,3509,12001,222.252,96.300,18.850,184301.000,184301.000,4
25,20190816_foci_10ugml_30min_03.TIF:0005-0095-0216:5,32,5733.562,3567,11941,216.118,95.159,18.850,183474.000,183474.000,5
26,20190816_foci_10ugml_30min_03.TIF:0005-0087-0226:5,32,5438.219,3640,9963,226.126,87.008,18.850,174023.000,174023.000,5
27,20190816_foci_10ugml_30min_03.TIF:0005-0101-0227:5,32,5245.906,3305,10084,227.018,100.905,18.850,167869.000,167869.000,5
28,20190816_foci_10ugml_30min_03.TIF:0005-0107-0230:5,32,6051.531,3923,8613,230.147,107.078,18.850,193649.000,193649.000,5
29,20190816_foci_10ugml_30min_03.TIF:0006-0087-0210:6,32,6885.469,3846,12344,210.175,87.282,18.850,220335.000,220335.000,6
30,20190816_foci_10ugml_30min_03.TIF:0006-0096-0226:6,32,5875.500,3910,11042,226.086,96.020,18.850,188016.000,188016.000,6
31,20190816_foci_10ugml_30min_03.TIF:0006-0087-0226:6,32,5036.844,3414,9071,226.074,87.130,18.850,161179.000,161179.000,6
32,20190816_foci_10ugml_30min_03.TIF:0007-0094-0223:7,32,6077.062,3818,12661,223.087,94.064,18.850,194466.000,194466.000,7
33,20190816_foci_10ugml_30min_03.TIF:0007-0100-0214:7,32,6000.938,3904,10365,214.108,100.129,18.850,192030.000,192030.000,7
34,20190816_foci_10ugml_30min_03.TIF:0007-0088-0219:7,32,5699.156,3312,9505,219.156,88.357,18.850,182373.000,182373.000,7
35,20190816_foci_10ugml_30min_03.TIF:0008-0105-0216:8,32,7419.969,3713,13444,215.963,105.183,18.850,237439.000,237439.000,8
36,20190816_foci_10ugml_30min_03.TIF:0008-0100-0214:8,32,6184.781,3456,11248,214.268,100.265,18.850,197913.000,197913.000,8
37,20190816_foci_10ugml_30min_03.TIF:0002-0100-0282:2,32,5143.750,3693,8486,282.052,99.990,18.850,164600.000,164600.000,2
38,20190816_foci_10ugml_30min_03.TIF:0003-0100-0282:3,32,6045.000,3868,9708,282.164,100.102,18.850,193440.000,193440.000,3
39,20190816_foci_10ugml_30min_03.TIF:0004-0101-0289:4,32,6251.062,3776,11813,289.245,101.204,18.850,200034.000,200034.000,4
40,20190816_foci_10ugml_30min_03.TIF:0004-0087-0280:4,32,5114.312,3192,9805,280.204,87.116,18.850,163658.000,163658.000,4
41,20190816_foci_10ugml_30min_03.TIF:0005-0091-0290:5,32,5537.438,3460,10007,290.038,91.212,18.850,177198.000,177198.000,5
42,20190816_foci_10ugml_30min_03.TIF:0005-0099-0274:5,32,4911.156,3508,8513,274.037,99.071,18.850,157157.000,157157.000,5
43,20190816_foci_10ugml_30min_03.TIF:0006-0097-0298:6,32,6050.156,3422,10204,298.217,97.229,18.850,193605.000,193605.000,6
44,20190816_foci_10ugml_30min_03.TIF:0006-0090-0278:6,32,6253.719,3657,10210,277.984,90.289,18.850,200119.000,200119.000,6
45,20190816_foci_10ugml_30min_03.TIF:0006-0106-0289:6,32,6215.125,4009,8618,289.074,105.863,18.850,198884.000,198884.000,6
46,20190816_foci_10ugml_30min_03.TIF:0007-0106-0284:7,32,5172.188,3634,8270,284.091,106.042,18.850,165510.000,165510.000,7
47,20190816_foci_10ugml_30min_03.TIF:0007-0130-0408:7,32,5220.281,3173,7753,408.075,130.160,18.850,167049.000,167049.000,7
48,20190816_foci_10ugml_30min_03.TIF:0008-0153-0415:8,32,5162.719,3259,8832,415.217,153.292,18.850,165207.000,165207.000,8
49,20190816_foci_10ugml_30min_03.TIF:0008-0147-0408:8,32,6007.375,4152,8973,408.070,147.020,18.850,192236.000,192236.000,8
50,20190816_foci_10ugml_30min_03.TIF:0009-0145-0407:9,32,6988.500,3998,13238,407.130,145.269,18.850,223632.000,223632.000,9
51,20190816_foci_10ugml_30min_03.TIF:0009-0150-0397:9,32,6261.969,3479,11459,397.288,150.368,18.850,200383.000,200383.000,9
52,20190816_foci_10ugml_30min_03.TIF:0009-0132-0397:9,32,6580.750,3840,10213,396.946,132.292,18.850,210584.000,210584.000,9
53,20190816_foci_10ugml_30min_03.TIF:0009-0139-0420:9,32,4978.438,3599,7746,420.003,139.079,18.850,159310.000,159310.000,9
54,20190816_foci_10ugml_30min_03.TIF:0009-0158-0417:9,32,5127.594,3749,8067,417.107,158.013,18.850,164083.000,164083.000,9
55,20190816_foci_10ugml_30min_03.TIF:0010-0162-0411:10,32,7818.344,4180,13348,411.218,162.051,18.850,250187.000,250187.000,10
56,20190816_foci_10ugml_30min_03.TIF:0010-0158-0420:10,32,6831.094,4153,11891,420.039,157.927,18.850,218595.000,218595.000,10
57,20190816_foci_10ugml_30min_03.TIF:0010-0144-0403:10,32,7787.062,4437,10742,403.061,144.083,18.850,249186.000,249186.000,10
58,20190816_foci_10ugml_30min_03.TIF:0011-0138-0402:11,32,9529.094,4343,17976,402.281,138.114,18.850,304931.000,304931.000,11
59,20190816_foci_10ugml_30min_03.TIF:0011-0154-0408:11,32,6896.000,4081,13090,407.969,154.051,18.850,220672.000,220672.000,11
60,20190816_foci_10ugml_30min_03.TIF:0011-0146-0400:11,32,6761.156,3548,12993,400.232,146.093,18.850,216357.000,216357.000,11
61,20190816_foci_10ugml_30min_03.TIF:0011-0137-0410:11,32,7019.781,3925,11312,409.848,137.228,18.850,224633.000,224633.000,11
62,20190816_foci_10ugml_30min_03.TIF:0001-0147-0199:1,32,7164.062,4770,9298,199.126,147.126,18.850,229250.000,229250.000,1
