 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_20min_03.TIF:0006-0086-0238:6,2828,3684.200,2753,6101,238.438,86.206,188.496,10418917.000,10418917.000,6
2,20190816_foci_10ugml_20min_03.TIF:0006-0088-0076:6,2828,3684.822,2708,17718,76.123,88.326,188.496,10420676.000,10420676.000,6
3,20190816_foci_10ugml_20min_03.TIF:0006-0090-0333:6,2828,4029.818,2754,15536,332.427,90.709,188.496,11396326.000,11396326.000,6
4,20190816_foci_10ugml_20min_03.TIF:0006-0108-0445:6,2828,3799.624,2717,15733,445.309,108.204,188.496,10745337.000,10745337.000,6
5,20190816_foci_10ugml_20min_03.TIF:0006-0143-0305:6,2828,4141.060,2919,19020,305.262,143.393,188.496,11710919.000,11710919.000,6
6,20190816_foci_10ugml_20min_03.TIF:0006-0153-0153:6,2828,4441.239,2746,23486,153.466,153.968,188.496,12559825.000,12559825.000,6
7,20190816_foci_10ugml_20min_03.TIF:0006-0201-0300:6,2828,4354.580,2958,11871,299.762,200.612,188.496,12314753.000,12314753.000,6
8,20190816_foci_10ugml_20min_03.TIF:0006-0228-0124:6,2828,4088.707,2847,13866,124.763,227.818,188.496,11562864.000,11562864.000,6
9,20190816_foci_10ugml_20min_03.TIF:0006-0267-0179:6,2828,4146.449,2919,11721,179.142,267.171,188.496,11726157.000,11726157.000,6
10,20190816_foci_10ugml_20min_03.TIF:0006-0287-0438:6,2828,3700.442,2755,10812,438.112,287.388,188.496,10464850.000,10464850.000,6
11,20190816_foci_10ugml_20min_03.TIF:0006-0286-0277:6,2828,3683.691,2816,5895,276.607,285.908,188.496,10417478.000,10417478.000,6
12,20190816_foci_10ugml_20min_03.TIF:0006-0357-0136:6,2828,4557.745,3007,15837,135.950,357.049,188.496,12889302.000,12889302.000,6
13,20190816_foci_10ugml_20min_03.TIF:0006-0384-0335:6,2828,3886.952,2926,9364,334.730,384.278,188.496,10992300.000,10992300.000,6
14,20190816_foci_10ugml_20min_03.TIF:0006-0385-0439:6,2828,3973.450,2910,10658,439.189,385.208,188.496,11236917.000,11236917.000,6
15,20190816_foci_10ugml_20min_03.TIF:0006-0396-0075:6,2828,3925.321,2761,14886,75.431,395.793,188.496,11100807.000,11100807.000,6
16,20190816_foci_10ugml_20min_03.TIF:0006-0394-0224:6,2828,3793.446,2788,14873,223.542,394.278,188.496,10727864.000,10727864.000,6
17,20190816_foci_10ugml_20min_03.TIF:0006-0461-0232:6,2828,3928.641,2729,15306,231.799,461.098,188.496,11110198.000,11110198.000,6
18,20190816_foci_10ugml_20min_03.TIF:0006-0464-0164:6,2828,3660.506,2752,7238,163.859,463.841,188.496,10351910.000,10351910.000,6
19,20190816_foci_10ugml_20min_03.TIF:0006-0461-0304:6,2828,3766.299,2745,13782,303.738,460.886,188.496,10651093.000,10651093.000,6
20,20190816_foci_10ugml_20min_03.TIF:0007-0085-0250:7,32,5738.750,4280,10180,250.063,85.079,18.850,183640.000,183640.000,7
21,20190816_foci_10ugml_20min_03.TIF:0008-0084-0237:8,32,10179.188,5320,21007,237.223,84.305,18.850,325734.000,325734.000,8
22,20190816_foci_10ugml_20min_03.TIF:0008-0090-0246:8,32,8538.500,3995,19872,246.383,90.075,18.850,273232.000,273232.000,8
23,20190816_foci_10ugml_20min_03.TIF:0008-0096-0254:8,32,9149.156,4793,18738,254.074,95.988,18.850,292773.000,292773.000,8
24,20190816_foci_10ugml_20min_03.TIF:0008-0101-0245:8,32,6839.719,4340,11378,245.193,100.978,18.850,218871.000,218871.000,8
25,20190816_foci_10ugml_20min_03.TIF:0008-0072-0243:8,32,5179.375,3836,8562,243.088,72.191,18.850,165740.000,165740.000,8
26,20190816_foci_10ugml_20min_03.TIF:0009-0079-0242:9,32,10052.969,3944,21942,242.167,79.345,18.850,321695.000,321695.000,9
27,20190816_foci_10ugml_20min_03.TIF:0009-0098-0250:9,32,7419.906,5044,14185,250.051,98.110,18.850,237437.000,237437.000,9
28,20190816_foci_10ugml_20min_03.TIF:0009-0097-0246:9,32,6816.750,4483,11471,246.062,97.122,18.850,218136.000,218136.000,9
29,20190816_foci_10ugml_20min_03.TIF:0009-0085-0250:9,32,5976.000,3887,10759,250.091,85.258,18.850,191232.000,191232.000,9
30,20190816_foci_10ugml_20min_03.TIF:0009-0101-0245:9,32,6313.625,3788,10812,245.182,100.886,18.850,202036.000,202036.000,9
31,20190816_foci_10ugml_20min_03.TIF:0009-0084-0221:9,32,5915.500,3930,8478,221.126,84.015,18.850,189296.000,189296.000,9
32,20190816_foci_10ugml_20min_03.TIF:0010-0093-0244:10,32,6637.594,4430,10379,243.981,92.947,18.850,212403.000,212403.000,10
33,20190816_foci_10ugml_20min_03.TIF:0010-0097-0253:10,32,6049.406,4128,9777,253.079,97.073,18.850,193581.000,193581.000,10
34,20190816_foci_10ugml_20min_03.TIF:0011-0091-0241:11,32,6039.906,4603,10256,241.101,91.015,18.850,193277.000,193277.000,11
35,20190816_foci_10ugml_20min_03.TIF:0012-0093-0257:12,32,5733.969,4040,9875,257.029,93.245,18.850,183487.000,183487.000,12
36,20190816_foci_10ugml_20min_03.TIF:0012-0090-0246:12,32,5532.719,3807,9252,246.127,90.070,18.850,177047.000,177047.000,12
37,20190816_foci_10ugml_20min_03.TIF:0006-0083-0084:6,32,8858.875,4507,17718,84.133,83.269,18.850,283484.000,283484.000,6
38,20190816_foci_10ugml_20min_03.TIF:0006-0082-0075:6,32,7372.219,4358,12556,75.203,81.955,18.850,235911.000,235911.000,6
39,20190816_foci_10ugml_20min_03.TIF:0007-0082-0077:7,32,9105.781,3642,18056,77.198,82.210,18.850,291385.000,291385.000,7
40,20190816_foci_10ugml_20min_03.TIF:0007-0089-0086:7,32,7803.625,4392,13988,86.239,89.064,18.850,249716.000,249716.000,7
41,20190816_foci_10ugml_20min_03.TIF:0007-0078-0062:7,32,6724.469,3279,13745,62.108,78.350,18.850,215183.000,215183.000,7
42,20190816_foci_10ugml_20min_03.TIF:0007-0090-0069:7,32,6078.844,3713,12067,69.165,90.087,18.850,194523.000,194523.000,7
43,20190816_foci_10ugml_20min_03.TIF:0007-0107-0069:7,32,6651.594,3776,10008,68.986,107.165,18.850,212851.000,212851.000,7
