 ,Label,Area,Mean,Min,Max,XM,YM,Perim.,IntDen,RawIntDen,Slice
1,20190816_foci_10ugml_20min_02.TIF:0006-0069-0132:6,2828,3691.679,2725,9196,132.212,69.000,188.496,10440069,10440069,6
2,20190816_foci_10ugml_20min_02.TIF:0006-0074-0192:6,2828,4019.706,2685,15550,192.250,74.335,188.496,11367729,11367729,6
3,20190816_foci_10ugml_20min_02.TIF:0006-0079-0257:6,2828,3543.646,2723,5651,256.949,79.217,188.496,10021430,10021430,6
4,20190816_foci_10ugml_20min_02.TIF:0006-0094-0362:6,2828,3697.919,2713,10262,362.153,93.872,188.496,10457714,10457714,6
5,20190816_foci_10ugml_20min_02.TIF:0006-0097-0310:6,2828,3596.785,2792,7764,310.120,97.019,188.496,10171707,10171707,6
6,20190816_foci_10ugml_20min_02.TIF:0006-0144-0391:6,2828,3615.737,2752,9373,391.007,144.103,188.496,10225305,10225305,6
7,20190816_foci_10ugml_20min_02.TIF:0006-0152-0093:6,2828,3928.624,2760,5577,93.569,152.209,188.496,11110148,11110148,6
8,20190816_foci_10ugml_20min_02.TIF:0006-0158-0165:6,2828,3963.107,2843,16081,165.053,158.563,188.496,11207668,11207668,6
9,20190816_foci_10ugml_20min_02.TIF:0006-0175-0468:6,2828,3445.284,2692,7382,467.989,175.128,188.496,9743263,9743263,6
10,20190816_foci_10ugml_20min_02.TIF:0006-0189-0292:6,2828,3926.209,2786,15014,291.845,189.523,188.496,11103318,11103318,6
11,20190816_foci_10ugml_20min_02.TIF:0006-0201-0401:6,2828,4064.196,2732,22863,401.293,200.942,188.496,11493547,11493547,6
12,20190816_foci_10ugml_20min_02.TIF:0006-0255-0232:6,2828,3849.872,2810,7562,232.219,254.893,188.496,10887438,10887438,6
13,20190816_foci_10ugml_20min_02.TIF:0006-0264-0300:6,2828,3709.975,2792,6089,299.768,264.167,188.496,10491809,10491809,6
14,20190816_foci_10ugml_20min_02.TIF:0006-0283-0063:6,2828,4092.462,2875,10673,62.661,283.312,188.496,11573483,11573483,6
15,20190816_foci_10ugml_20min_02.TIF:0006-0334-0202:6,2828,3904.662,2815,13065,202.006,334.060,188.496,11042385,11042385,6
16,20190816_foci_10ugml_20min_02.TIF:0006-0386-0107:6,2828,3698.906,2841,5697,106.859,385.979,188.496,10460505,10460505,6
17,20190816_foci_10ugml_20min_02.TIF:0006-0398-0182:6,2828,4018.760,2850,13088,182.314,397.956,188.496,11365054,11365054,6
18,20190816_foci_10ugml_20min_02.TIF:0006-0441-0082:6,2828,3670.488,2764,5695,81.966,440.934,188.496,10380140,10380140,6
19,20190816_foci_10ugml_20min_02.TIF:0006-0473-0408:6,2828,3996.843,2989,5502,408.105,473.092,188.496,11303071,11303071,6
20,20190816_foci_10ugml_20min_02.TIF:0006-0055-0134:6,32,6338.312,4124,9196,134.117,55.190,18.850,202826,202826,6
21,20190816_foci_10ugml_20min_02.TIF:0007-0057-0123:7,32,6563.531,4227,10860,123.153,57.200,18.850,210033,210033,7
22,20190816_foci_10ugml_20min_02.TIF:0009-0053-0138:9,32,7344.062,4842,9730,138.093,53.086,18.850,235010,235010,9
23,20190816_foci_10ugml_20min_02.TIF:0004-0066-0195:4,32,7109.188,4712,10103,195.073,66.144,18.850,227494,227494,4
24,20190816_foci_10ugml_20min_02.TIF:0005-0067-0195:5,32,8612.344,5291,12988,195.117,67.084,18.850,275595,275595,5
25,20190816_foci_10ugml_20min_02.TIF:0005-0076-0197:5,32,6122.812,3896,10717,197.093,76.135,18.850,195930,195930,5
26,20190816_foci_10ugml_20min_02.TIF:0006-0075-0189:6,32,6904.719,4073,15550,189.256,75.157,18.850,220951,220951,6
27,20190816_foci_10ugml_20min_02.TIF:0006-0072-0198:6,32,6426.719,3882,11787,198.135,72.277,18.850,205655,205655,6
28,20190816_foci_10ugml_20min_02.TIF:0006-0064-0182:6,32,6900.031,4111,11201,182.049,64.014,18.850,220801,220801,6
29,20190816_foci_10ugml_20min_02.TIF:0006-0067-0194:6,32,6308.906,3979,11089,194.209,67.036,18.850,201885,201885,6
30,20190816_foci_10ugml_20min_02.TIF:0006-0082-0186:6,32,7000.406,3888,10462,186.174,82.097,18.850,224013,224013,6
31,20190816_foci_10ugml_20min_02.TIF:0007-0081-0188:7,32,10881.062,4811,23552,188.404,81.151,18.850,348194,348194,7
